doc_id,date,tip,period,canonical,label,count,max_score
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,românia,țară,2,0.966
2025-03-05_interventia-presedintelui-trump-de-azi-noapte-din-congres-es,2025-03-05,facebook-post,2025Q2 campanie + investitură,sua,țară,2,0.966
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,direcția generală de asistență socială a municipiului bucurești,instituție națională,1,0.673
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,dgasmb,instituție națională,2,0.714
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,fundația vodafone,instituție națională,1,0.508
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.936
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,anglia,țară,1,0.961
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,cehia,țară,1,0.944
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,irlanda,țară,1,0.949
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,luxemburg,țară,1,0.941
2025-03-05_organizam-cursuri-de-initiere-in-lumea-digitala-pentru-senio,2025-03-05,facebook-post,2025Q2 campanie + investitură,olanda,țară,1,0.973
2025-03-06_copiii-familia-iubirea-care-ne-tine-ancorati-in-aceasta-lume,2025-03-06,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.687
2025-03-06_copiii-familia-iubirea-care-ne-tine-ancorati-in-aceasta-lume,2025-03-06,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.497
2025-03-06_ne-vedem-la-cluj-sambata-vom-fi-la-cluj-dar-pana-atunci-trim,2025-03-06,facebook-post,2025Q2 campanie + investitură,nicușorpresedinte,persoană politică,1,0.758
2025-03-06_ne-vedem-la-cluj-sambata-vom-fi-la-cluj-dar-pana-atunci-trim,2025-03-06,facebook-post,2025Q2 campanie + investitură,româniaonesta,țară,1,0.524
2025-03-06_o-afacere-de-familie-infiintata-in-1995-in-bacau-a-crescut-s,2025-03-06,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.96
2025-03-06_o-afacere-de-familie-infiintata-in-1995-in-bacau-a-crescut-s,2025-03-06,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.833
2025-03-06_o-afacere-de-familie-infiintata-in-1995-in-bacau-a-crescut-s,2025-03-06,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.865
2025-03-07_acum-trei-luni-romanii-au-spus-clar-nu-se-mai-poate-au-cerut,2025-03-07,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.971
2025-03-07_acum-trei-luni-romanii-au-spus-clar-nu-se-mai-poate-au-cerut,2025-03-07,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.931
2025-03-07_acum-trei-luni-romanii-au-spus-clar-nu-se-mai-poate-au-cerut,2025-03-07,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.937
2025-03-07_acum-trei-luni-romanii-au-spus-clar-nu-se-mai-poate-au-cerut,2025-03-07,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.608
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,românia,țară,2,0.981
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,președintelui,persoană politică,1,0.581
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,româniei,țară,1,0.916
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.927
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,romaniaputernica,țară,1,0.948
2025-03-07_candidez-pentru-toti-romanii-onesti-din-tara-si-din-diaspora,2025-03-07,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.719
2025-03-07_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-03-07,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.779
2025-03-07_vrei-sa-fii-parte-din-schimbare-alatura-te-echipei-de-volunt,2025-03-07,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.798
2025-03-08_am-avut-ieri-placerea-de-a-oferi-flori-doamnelor-care-lucrea,2025-03-08,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.928
