word,importance,mean_scris,mean_vorbit,ratio_vorbit_over_scris
tot,0.005853475448778045,0.009350233439563694,0.008719127175115093,0.9325036889690692
vrea,0.005596037590591255,0.016487599592722408,0.01664588016897245,1.0095999769620743
dar,0.005499419260903599,0.0036543973397516194,0.006913033349387455,1.8917027095519166
după,0.004921110455607873,0.001675074835389028,0.0037141703334427987,2.217316059542021
între,0.004603894757432034,0.0027661629057457917,0.0024901553143544114,0.9002200518204964
dumneavoastră,0.0037446345925013524,0.00016800166311001574,0.001338744786465292,7.968640081786667
despre,0.0034851942037286868,0.00624633999687059,0.0023840802959180455,0.3816763572127786
orice,0.003483446152477625,0.0007059292969418096,0.0013583915931347792,1.9242601192775721
lui,0.003389943544677841,0.0037364257136372606,0.0029296726333795818,0.7840842714166162
ci,0.0033623282198780185,0.002541163168039756,0.0006657661436790206,0.2619926780194088
alt,0.003101471239553236,0.00200353468707655,0.002778845002599227,1.3869712466291102
dintre,0.0030998450128885725,0.004866186171958621,0.0022543711285718357,0.4632726839681229
sau,0.0030981243550385383,0.002642267098941173,0.003565658419270156,1.3494693328691147
cine,0.002956486213095932,0.0002731411356787358,0.001174644736520484,4.300504695499554
său,0.0029329587266216537,0.0031221211463891697,0.0006556953748383767,0.2100159936448042
da,0.002836545574437997,0.0006420875432718206,0.0019902497707995717,3.0996548549408964
nici_un,0.0028149569964850273,0.00033715067623341685,0.00136931349275464,4.061428878186898
mulțumesc,0.0025572072997283204,0.0009086126535601947,0.0010910577881202022,1.2007952826159058
câtva,0.002553544187460241,0.0005117118149861242,0.0008914974022023801,1.7421864731158383
cred,0.0024825236448617703,0.0002133616487851774,0.001016721970013467,4.765251748861159
însă,0.0024584131227344905,0.0008421735337494961,0.0014454737591071264,1.7163609412796883
cel,0.002395443525816197,0.005548107001519894,0.0029972020797674062,0.5402206696709938
fiecare,0.002353500987157335,0.0025386269406648346,0.0021268018107589463,0.837776428151339
veni,0.0022929022551063396,0.0003783825041510029,0.0017633373243336177,4.66019782888776
încât,0.002180573142839434,0.0011425437329596801,0.001228159063980411,1.0749339640583826
același,0.0021788311829337714,0.0017578431822943674,0.001028788392516354,0.5852560699831947
peste,0.0021655301388007553,0.0016360364650456758,0.0007952767082094242,0.48609962259442746
dori,0.0020993657848898577,0.0010175093273890044,0.0014769455272957204,1.4515302096401017
începe,0.0019877466912255615,0.0010765530377311251,0.0012059548249271454,1.1202001040921674
către,0.0019231545057849513,0.002105695334133959,0.0010801448732348517,0.5129635117319092
pune,0.0018298172727581978,0.001026372509376295,0.0009389608876077257,0.9148344085894432
ști,0.0017812111203518225,0.0005811086330303215,0.0011861167173796265,2.0411273382643698
fără,0.0017393106216207147,0.002523769057792214,0.001299861770194536,0.515047827447275
mulțumi,0.0016906127746160024,0.0011741396135748867,0.0006297559424789183,0.5363552470234004
unul,0.0016827981828850033,0.0022409295728073,0.0017594911832950005,0.7851613029903556
aduce,0.001535234826888327,0.0007241946358679626,0.00048564012190062086,0.6705933706876617
duce,0.0015237555214859253,0.00044433742196484067,0.0011022764822664676,2.4807194437782196
vorbi,0.001521462362186908,0.0003944149325385365,0.0010858348471711088,2.7530267177828436
ceva,0.0015145562356022732,7.521789467895875e-05,0.0010555336377882803,14.033012254510128
înțelege,0.0014807423460288709,0.00017384474123183756,0.0005540163521417714,3.1868456199255455
până,0.0014545784049926089,0.0017768162933286895,0.002218328282611814,1.248484883294263
privi,0.0013381418547316008,0.0007697600247273815,0.0008455756673979545,1.098492569417883
asupra,0.0012879106065320325,0.001969107965831563,0.0003310079450467348,0.16810045502352566
privind,0.0012814186103686958,0.0016971840451778788,0.00016471737159550243,0.09705333494237432
