doc_id,date,tip,period,canonical,label,count,max_score
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,usr,partid politic,2,0.845
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidelor,partid politic,1,0.623
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidele,partid politic,4,0.798
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,guvernului,instituție națională,1,0.476
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,curtea constituțională,instituție națională,1,0.588
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,ce,instituție națională,1,0.683
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,georgescu,persoană politică,2,0.897
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,autoritatea electorală permanentă,instituție națională,2,0.831
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,servicii secrete,instituție națională,1,0.596
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,oameni politici,persoană politică,1,0.512
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,rusia,țară,1,0.945
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,domnia sa,persoană politică,1,0.544
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,domnul greblă,persoană politică,1,0.744
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,româniei,țară,1,0.949
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,președintele,persoană politică,2,0.521
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,parlament,instituție națională,1,0.566
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidele din coaliția prooccidentală,partid politic,1,0.512
2024-12-18_nicusor-dan-iesirea-unui-partid-din-coalitie-ne-ar-lasa-cu-u,2024-12-18,video-transcript,2024Q4-2025Q1 candidatură-precampanie,partidelor prooccidentale,partid politic,1,0.632
